sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2,Genome PTR,Ori/Ter PTR,OD600, Notes,CFU/ml,Sample ID,qPCR_PTR,TimePoint(Hrs),dlog(CFUml) /dt,log10 CFU/ml,dlog(CFUml) /dt log,dlog(OD) /dt
GC_HU-HM86_3h,HM86,GC_HU,3h,a,GC_HU-HM86_3h_R1.fastq.gz,GC_HU-HM86_3h_R2.fastq.gz,1.266543,1.785376,ND,HU-Stability,8.45E+08,8399-SP-78,1.338288,3,9.57E-01,8.926856709,4.55E-02,
GC_HU-HM86_4h,HM86,GC_HU,4h,a,GC_HU-HM86_4h_R1.fastq.gz,GC_HU-HM86_4h_R2.fastq.gz,1.10074,1.360072,ND,HU-Stability,2.20E+09,8399-SP-79,1.068144,4,-6.06E-01,9.342422681,-2.86E-02,
GC_HU-HM86_5h,HM86,GC_HU,5h,a,GC_HU-HM86_5h_R1.fastq.gz,GC_HU-HM86_5h_R2.fastq.gz,1.090105,1.247135,ND,HU-Stability,1.20E+09,8399-SP-80,0.993331,5,1.54E-01,9.079181246,7.35E-03,
GC_HU-HM86_6h,HM86,GC_HU,6h,a,GC_HU-HM86_6h_R1.fastq.gz,GC_HU-HM86_6h_R2.fastq.gz,1.079097,1.335492,ND,HU-Stability,1.40E+09,8399-SP-81,0.972966,6,,9.146128036,,
HM68_TB1_T_O-N,HM68,TB1,0,a,HM68_TB1_T_O-N_R1.fastq.gz,HM68_TB1_T_O-N_R2.fastq.gz,1.297024,1.039613,0.157,68TB_Rep1,6.00E+07,8399-SP-90,1.000079,0,1.15E+00,7.77815125,6.24E-02,0.781484642
HM68_TB1_T1,HM68,TB1,T1,a,HM68_TB1_T1_R1.fastq.gz,HM68_TB1_T1_R2.fastq.gz,1.811068,1.191446,0.343,68TB_Rep1,1.90E+08,8399-SP-91,2.375922,1,1.23E+00,8.278753601,6.25E-02,1.184245976
HM68_TB1-T2,HM68,TB1,T2,a,HM68_TB1-T2_R1.fastq.gz,HM68_TB1-T2_R2.fastq.gz,1.611574,1.199113,1.121,68TB_Rep1,6.50E+08,8399-SP-92,2.183189,2,3.03E+00,8.812913357,1.44E-01,0.433040836
HM68_TB1-T2.5,HM68,TB1,T2.5,a,HM68_TB1-T2.5_R1.fastq.gz,HM68_TB1-T2.5_R2.fastq.gz,1.346628,1.129689,1.392,68TB_Rep1,2.95E+09,8399-SP-93,1.406652,2.5,6.34E-01,9.469822016,2.89E-02,1.911464928
HM68_TB1-T3,HM68,TB1,T3,a,HM68_TB1-T3_R1.fastq.gz,HM68_TB1-T3_R2.fastq.gz,1.248157,1.070098,3.62,68TB_Rep1,4.05E+09,8399-SP-94,1.344567,3,3.33E-01,9.607455023,1.49E-02,0.213149021
HM68_TB1-T4,HM68,TB1,T4,a,HM68_TB1-T4_R1.fastq.gz,HM68_TB1-T4_R2.fastq.gz,1.141269,1.244483,4.48,68TB_Rep1,5.65E+09,8399-SP-95,1.122063,4,1.29E+00,9.752048448,5.58E-02,0.307025035
HM68_TB1-T5,HM68,TB1,T5,a,HM68_TB1-T5_R1.fastq.gz,HM68_TB1-T5_R2.fastq.gz,1.111355,1.513238,6.09,68TB_Rep1,2.05E+10,8399-SP-96,1.020475,5,,10.31175386,,
HM86_HU_O-N,HM86,HU,0,a,HM86_HU_O-N_R1.fastq.gz,HM86_HU_O-N_R2.fastq.gz,1.079955,1.600697,ND,HU-Stability,4.05E+07,8399-SP-67,1.000383,0,,7.607455023,,
HM86_LB1-T_O-N,HM86,LB1,0,a,HM86_LB1-T_O-N_R1.fastq.gz,HM86_LB1-T_O-N_R2.fastq.gz,1.053575,1.165961,0.055,LB_Rep1,8.80E+07,8399-SP-1,1,0,-8.01E-01,7.944482672,-4.48E-02,1.140161292
HM86_LB1-T1a,HM86,LB1,T1a,a,HM86_LB1-T1a_R1.fastq.gz,HM86_LB1-T1a_R2.fastq.gz,1.559022,1.905808,0.172,LB_Rep1,3.95E+07,8399-SP-2,2.411199,1,-2.47E+00,7.596597096,-1.46E-01,1.357011261
HM86_LB1-T1b,HM86,LB1,T1b,b,HM86_LB1-T1b_R1.fastq.gz,HM86_LB1-T1b_R2.fastq.gz,1.834211,2.053689,0.339,LB_Rep1,1.15E+07,8399-SP-3,2.518361,1.5,4.85E+00,7.06069784,2.78E-01,1.814803569
HM86_LB1-T2a,HM86,LB1,T2a,a,HM86_LB1-T2a_R1.fastq.gz,HM86_LB1-T2a_R2.fastq.gz,1.498,1.978543,0.84,LB_Rep1,1.30E+08,8399-SP-4,2.178435,2,1.83E+00,8.113943352,9.58E-02,1.105579646
HM86_LB1-T2b,HM86,LB1,T2b,b,HM86_LB1-T2b_R1.fastq.gz,HM86_LB1-T2b_R2.fastq.gz,1.457387,2.038726,1.46,LB_Rep1,3.25E+08,8399-SP-5,2.09572,2.5,3.63E+00,8.511883361,1.77E-01,0.882686792
HM86_LB1-T3a,HM86,LB1,T3a,a,HM86_LB1-T3a_R1.fastq.gz,HM86_LB1-T3a_R2.fastq.gz,1.404545,1.480953,2.27,LB_Rep1,2.00E+09,8399-SP-6,1.694623,3,1.46E+00,9.301029996,6.70E-02,0.301998171
HM86_LB1-T3b,HM86,LB1,T3b,b,HM86_LB1-T3b_R1.fastq.gz,HM86_LB1-T3b_R2.fastq.gz,1.246482,1.566601,2.64,LB_Rep1,4.15E+09,8399-SP-7,1.482684,3.5,7.10E-02,9.618048097,3.20E-03,0.384743785
HM86_LB1-T4,HM86,LB1,T4,a,HM86_LB1-T4_R1.fastq.gz,HM86_LB1-T4_R2.fastq.gz,1.179599,1.257765,3.2,LB_Rep1,4.30E+09,8399-SP-8,1.341635,4,3.82E-01,9.633468456,1.71E-02,0.354171814
HM86_LB1-T5,HM86,LB1,T5,a,HM86_LB1-T5_R1.fastq.gz,HM86_LB1-T5_R2.fastq.gz,1.165152,1.248542,4.56,LB_Rep1,6.30E+09,8399-SP-9,1.102067,5,-6.56E-02,9.799340549,-2.91E-03,0.004376375
HM86_LB1-T6,HM86,LB1,T6,a,HM86_LB1-T6_R1.fastq.gz,HM86_LB1-T6_R2.fastq.gz,1.100209,1.289906,4.58,LB_Rep1,5.90E+09,8399-SP-10,1.015877,6,,9.770852012,,
HM86_LB2-T_O-N,HM86,LB2,0,a,HM86_LB2-T_O-N_R1.fastq.gz,HM86_LB2-T_O-N_R2.fastq.gz,1.046206,1.445131,0.053,LB_Rep2,3.20E+07,8399-SP-21,1,0,2.48E-01,7.505149978,1.42E-02,0.730188452
HM86_LB2-T1a,HM86,LB2,T1a,a,HM86_LB2-T1a_R1.fastq.gz,HM86_LB2-T1a_R2.fastq.gz,1.847941,2.053204,0.11,LB_Rep2,4.10E+07,8399-SP-22,2.726512,1,-5.27E-01,7.612783857,-3.03E-02,1.689394157
