sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2,Genome PTR,Ori/Ter PTR,OD600, Notes,CFU/ml,Sample ID,qPCR_PTR,TimePoint(Hrs),dlog(CFUml) /dt,log10 CFU/ml,dlog(CFUml) /dt log,dlog(OD) /dt
HM86_LB1-T_O-N,HM86,LB1,0,a,HM86_LB1-T_O-N_R1.fastq.gz,HM86_LB1-T_O-N_R2.fastq.gz,1.053575,1.165961,0.055,LB_Rep1,8.80E+07,8399-SP-1,1,0,-8.01E-01,7.944482672,-4.48E-02,1.140161292
HM86_LB1-T1a,HM86,LB1,T1a,a,HM86_LB1-T1a_R1.fastq.gz,HM86_LB1-T1a_R2.fastq.gz,1.559022,1.905808,0.172,LB_Rep1,3.95E+07,8399-SP-2,2.411199,1,-2.47E+00,7.596597096,-1.46E-01,1.357011261
HM86_LB1-T1b,HM86,LB1,T1b,b,HM86_LB1-T1b_R1.fastq.gz,HM86_LB1-T1b_R2.fastq.gz,1.834211,2.053689,0.339,LB_Rep1,1.15E+07,8399-SP-3,2.518361,1.5,4.85E+00,7.06069784,2.78E-01,1.814803569
HM86_LB1-T2a,HM86,LB1,T2a,a,HM86_LB1-T2a_R1.fastq.gz,HM86_LB1-T2a_R2.fastq.gz,1.498,1.978543,0.84,LB_Rep1,1.30E+08,8399-SP-4,2.178435,2,1.83E+00,8.113943352,9.58E-02,1.105579646
HM86_LB1-T2b,HM86,LB1,T2b,b,HM86_LB1-T2b_R1.fastq.gz,HM86_LB1-T2b_R2.fastq.gz,1.457387,2.038726,1.46,LB_Rep1,3.25E+08,8399-SP-5,2.09572,2.5,3.63E+00,8.511883361,1.77E-01,0.882686792
HM86_LB1-T3a,HM86,LB1,T3a,a,HM86_LB1-T3a_R1.fastq.gz,HM86_LB1-T3a_R2.fastq.gz,1.404545,1.480953,2.27,LB_Rep1,2.00E+09,8399-SP-6,1.694623,3,1.46E+00,9.301029996,6.70E-02,0.301998171
HM86_LB1-T3b,HM86,LB1,T3b,b,HM86_LB1-T3b_R1.fastq.gz,HM86_LB1-T3b_R2.fastq.gz,1.246482,1.566601,2.64,LB_Rep1,4.15E+09,8399-SP-7,1.482684,3.5,7.10E-02,9.618048097,3.20E-03,0.384743785
HM86_LB1-T4,HM86,LB1,T4,a,HM86_LB1-T4_R1.fastq.gz,HM86_LB1-T4_R2.fastq.gz,1.179599,1.257765,3.2,LB_Rep1,4.30E+09,8399-SP-8,1.341635,4,3.82E-01,9.633468456,1.71E-02,0.354171814
HM86_LB1-T5,HM86,LB1,T5,a,HM86_LB1-T5_R1.fastq.gz,HM86_LB1-T5_R2.fastq.gz,1.165152,1.248542,4.56,LB_Rep1,6.30E+09,8399-SP-9,1.102067,5,-6.56E-02,9.799340549,-2.91E-03,0.004376375
HM86_LB1-T6,HM86,LB1,T6,a,HM86_LB1-T6_R1.fastq.gz,HM86_LB1-T6_R2.fastq.gz,1.100209,1.289906,4.58,LB_Rep1,5.90E+09,8399-SP-10,1.015877,6,,9.770852012,,
