sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2,Genome PTR,Ori/Ter PTR,OD600, Notes,CFU/ml,Sample ID,qPCR_PTR,TimePoint(Hrs),dlog(CFUml) /dt,log10 CFU/ml,dlog(CFUml) /dt log,dlog(OD) /dt
HM86_TB2-T_O-N,HM86,TB2,0,a,HM86_TB2-T_O-N_R1.fastq.gz,HM86_TB2-T_O-N_R2.fastq.gz,1.118495,1.240806,0.077,TB_Rep2,6.10E+07,8399-SP-31,1,0,9.00E-01,7.785329835,4.90E-02,1.430746124
HM86_TB2-T1a,HM86,TB2,T1a,a,HM86_TB2-T1a_R1.fastq.gz,HM86_TB2-T1a_R2.fastq.gz,1.651124,2.041798,0.322,TB_Rep2,1.50E+08,8399-SP-32,2.008477,1,9.81E-01,8.176091259,5.15E-02,1.584241769
HM86_TB2-T1b,HM86,TB2,T1b,b,HM86_TB2-T1b_R1.fastq.gz,HM86_TB2-T1b_R2.fastq.gz,1.827869,2.2269,0.711,TB_Rep2,2.45E+08,8399-SP-33,2.371757,1.5,2.67E+00,8.389166084,1.34E-01,2.514747162
HM86_TB2-T2a,HM86,TB2,T2a,a,HM86_TB2-T2a_R1.fastq.gz,HM86_TB2-T2a_R2.fastq.gz,1.552473,1.924897,2.5,TB_Rep2,9.30E+08,8399-SP-34,2.185281,2,2.76E+00,8.968482949,1.29E-01,1.065956857
HM86_TB2-T2b,HM86,TB2,T2b,b,HM86_TB2-T2b_R1.fastq.gz,HM86_TB2-T2b_R2.fastq.gz,1.736233,1.560048,4.26,TB_Rep2,3.70E+09,8399-SP-35,1.492383,2.5,1.03E+00,9.568201724,4.63E-02,0.485339947
HM86_TB2-T3a,HM86,TB2,T3a,a,HM86_TB2-T3a_R1.fastq.gz,HM86_TB2-T3a_R2.fastq.gz,1.32894,1.706307,5.43,TB_Rep2,6.20E+09,8399-SP-36,1.372019,3,-2.04E-01,9.792391689,-9.05E-03,0.202971229
HM86_TB2-T3b,HM86,TB2,T3b,b,HM86_TB2-T3b_R1.fastq.gz,HM86_TB2-T3b_R2.fastq.gz,1.272311,1.595411,6.01,TB_Rep2,5.60E+09,8399-SP-37,1.188408,3.5,5.44E-01,9.748188027,2.41E-02,0.211386478
HM86_TB2-T4,HM86,TB2,T4,a,HM86_TB2-T4_R1.fastq.gz,HM86_TB2-T4_R2.fastq.gz,1.201448,1.434759,6.68,TB_Rep2,7.35E+09,8399-SP-38,1.080643,4,3.76E-01,9.866287339,1.64E-02,0.271077917
HM86_TB2-T5,HM86,TB2,T5,a,HM86_TB2-T5_R1.fastq.gz,HM86_TB2-T5_R2.fastq.gz,1.131865,1.512533,8.76,TB_Rep2,1.07E+10,8399-SP-39,1.018172,5,1.15E-01,10.02938378,4.95E-03,0.024803977
HM86_TB2-T6,HM86,TB2,T6,a,HM86_TB2-T6_R1.fastq.gz,HM86_TB2-T6_R2.fastq.gz,1.177864,1.105112,8.98,TB_Rep2,1.20E+10,8399-SP-40,0.982411,6,,10.07918125,,
