Sample Name,OD600, Notes
GC_HU-HM86_3h,ND,HU-Stability
GC_HU-HM86_4h,ND,HU-Stability
GC_HU-HM86_5h,ND,HU-Stability
GC_HU-HM86_6h,ND,HU-Stability
HM68_TB1_T1,0.343,68TB_Rep1
HM68_TB1_T_O-N,0.157,68TB_Rep1
HM68_TB1-T2,1.121,68TB_Rep1
HM68_TB1-T2.5,1.392,68TB_Rep1
HM68_TB1-T3,3.62,68TB_Rep1
HM68_TB1-T4,4.48,68TB_Rep1
HM68_TB1-T5,6.09,68TB_Rep1
HM86_HU_O-N,ND,HU-Stability
HM86_LB1-T_O-N,0.055,LB_Rep1
HM86_LB1-T1a,0.172,LB_Rep1
HM86_LB1-T1b,0.339,LB_Rep1
HM86_LB1-T2a,0.84,LB_Rep1
HM86_LB1-T2b,1.46,LB_Rep1
HM86_LB1-T3a,2.27,LB_Rep1
HM86_LB1-T3b,2.64,LB_Rep1
HM86_LB1-T4,3.2,LB_Rep1
HM86_LB1-T5,4.56,LB_Rep1
HM86_LB1-T6,4.58,LB_Rep1
HM86_LB2-T_O-N,0.053,LB_Rep2
HM86_LB2-T1a,0.11,LB_Rep2
HM86_LB2-T1b,0.256,LB_Rep2
HM86_LB2-T2a,0.69,LB_Rep2
HM86_LB2-T2b,1.23,LB_Rep2
HM86_LB2-T3a,2.01,LB_Rep2
HM86_LB2-T3b,2.84,LB_Rep2
HM86_LB2-T4,3.51,LB_Rep2
HM86_LB2-T5,4.5,LB_Rep2
HM86_LB2-T6,5.38,LB_Rep2
HM86_LB3-T_O-N,0.052,LB_Rep3
HM86_LB3-T1a,0.164,LB_Rep3
HM86_LB3-T1b,0.33,LB_Rep3
HM86_LB3-T2a,0.74,LB_Rep3
HM86_LB3-T2b,1.64,LB_Rep3
HM86_LB3-T3a,2.4,LB_Rep3
HM86_LB3-T3b,2.92,LB_Rep3
HM86_LB3-T4,3.39,LB_Rep3
HM86_LB3-T5,4.59,LB_Rep3
HM86_LB3-T6,4.76,LB_Rep3
HM86_M9Glu1-2.5h,0.082,M9_Rep1
HM86_M9Glu1-3.5h,0.165,M9_Rep1
HM86_M9Glu1-4h,0.278,M9_Rep1
HM86_M9Glu1-5h,0.62,M9_Rep1
HM86_M9Glu1-6h,1.04,M9_Rep1
HM86_M9Glu1-7h,1.48,M9_Rep1
HM86_M9Glu1-8h,1.245,M9_Rep1
HM86_M9Glu1-_O-N,0.027,M9_Rep1
HM86_TB1-T_O-N,0.139,TB_Rep1
HM86_TB1-T1a,0.412,TB_Rep1
HM86_TB1-T1b,0.857,TB_Rep1
HM86_TB1-T2a,2.61,TB_Rep1
HM86_TB1-T2b,4.13,TB_Rep1
HM86_TB1-T3a,5.93,TB_Rep1
HM86_TB1-T3b,5.82,TB_Rep1
HM86_TB1-T4,6.69,TB_Rep1
HM86_TB1-T5,8.61,TB_Rep1
HM86_TB1-T6,9.41,TB_Rep1
HM86_TB2-T_O-N,0.077,TB_Rep2
HM86_TB2-T1a,0.322,TB_Rep2
HM86_TB2-T1b,0.711,TB_Rep2
HM86_TB2-T2a,2.5,TB_Rep2
HM86_TB2-T2b,4.26,TB_Rep2
HM86_TB2-T3a,5.43,TB_Rep2
HM86_TB2-T3b,6.01,TB_Rep2
HM86_TB2-T4,6.68,TB_Rep2
HM86_TB2-T5,8.76,TB_Rep2
HM86_TB2-T6,8.98,TB_Rep2
HM86_TB3-T_O-N,0.122,TB_Rep3
HM86_TB3-T1a,0.517,TB_Rep3
HM86_TB3-T1b,0.999,TB_Rep3
HM86_TB3-T2a,2.98,TB_Rep3
HM86_TB3-T2b,4.24,TB_Rep3
HM86_TB3-T3a,5.68,TB_Rep3
HM86_TB3-T3b,5.76,TB_Rep3
HM86_TB3-T4,5.96,TB_Rep3
HM86_TB3-T5,7.21,TB_Rep3
HM86_TB3-T6,8.45,TB_Rep3
Stab_HM86_TB2h,ND,TB_stability
Stab_HM86_TB3h,ND,TB_stability
Stab_HM86_TB4h,ND,TB_stability
Stab_HM86_TB5h,ND,TB_stability
Stab_HM86_TB6h,ND,TB_stability
Stab_HM86_Tb_O-N,ND,TB_stability
Stab_HU-HM86_2h_R1,ND,HU-Stability
Stab_HU-HM86_2h_R2,ND,HU-Stability
Stab_HU-HM86_3h_R1,ND,HU-Stability
Stab_HU-HM86_3h_R2,ND,HU-Stability
Stab_HU-HM86_4h_R1,ND,HU-Stability
Stab_HU-HM86_4h_R2,ND,HU-Stability
Stab_HU-HM86_5h_R1,ND,HU-Stability
Stab_HU-HM86_5h_R2,ND,HU-Stability
Stab_HU-HM86_6h_R1,ND,HU-Stability
Stab_HU-HM86_6h_R2,ND,HU-Stability
