Sample Name	OD600	 Notes	CFU/ml
GC_HU-HM86_3h	ND	HU-Stability	845000000
GC_HU-HM86_4h	ND	HU-Stability	2200000000
GC_HU-HM86_5h	ND	HU-Stability	1200000000
GC_HU-HM86_6h	ND	HU-Stability	1400000000
HM68_TB1_T1	0.343	68TB_Rep1	190000000
HM68_TB1_T_O-N	0.157	68TB_Rep1	60000000
HM68_TB1-T2	1.121	68TB_Rep1	650000000
HM68_TB1-T2.5	1.392	68TB_Rep1	2950000000
HM68_TB1-T3	3.62	68TB_Rep1	4050000000
HM68_TB1-T4	4.48	68TB_Rep1	5650000000
HM68_TB1-T5	6.09	68TB_Rep1	20500000000
HM86_HU_O-N	ND	HU-Stability	40500000
HM86_LB1-T_O-N	0.055	LB_Rep1	88000000
HM86_LB1-T1a	0.172	LB_Rep1	39500000
HM86_LB1-T1b	0.339	LB_Rep1	11500000
HM86_LB1-T2a	0.84	LB_Rep1	130000000
HM86_LB1-T2b	1.46	LB_Rep1	325000000
HM86_LB1-T3a	2.27	LB_Rep1	2000000000
HM86_LB1-T3b	2.64	LB_Rep1	4150000000
HM86_LB1-T4	3.2	LB_Rep1	4300000000
HM86_LB1-T5	4.56	LB_Rep1	6300000000
HM86_LB1-T6	4.58	LB_Rep1	5900000000
HM86_LB2-T_O-N	0.053	LB_Rep2	32000000
HM86_LB2-T1a	0.11	LB_Rep2	41000000
HM86_LB2-T1b	0.256	LB_Rep2	31500000
HM86_LB2-T2a	0.69	LB_Rep2	50000000
HM86_LB2-T2b	1.23	LB_Rep2	245000000
HM86_LB2-T3a	2.01	LB_Rep2	695000000
HM86_LB2-T3b	2.84	LB_Rep2	3100000000
HM86_LB2-T4	3.51	LB_Rep2	3800000000
HM86_LB2-T5	4.5	LB_Rep2	5550000000
HM86_LB2-T6	5.38	LB_Rep2	6350000000
HM86_LB3-T_O-N	0.052	LB_Rep3	36000000
HM86_LB3-T1a	0.164	LB_Rep3	43000000
HM86_LB3-T1b	0.33	LB_Rep3	19000000
HM86_LB3-T2a	0.74	LB_Rep3	110000000
HM86_LB3-T2b	1.64	LB_Rep3	325000000
HM86_LB3-T3a	2.4	LB_Rep3	1600000000
HM86_LB3-T3b	2.92	LB_Rep3	2850000000
HM86_LB3-T4	3.39	LB_Rep3	2550000000
HM86_LB3-T5	4.59	LB_Rep3	4500000000
HM86_LB3-T6	4.76	LB_Rep3	5400000000
HM86_M9Glu1-2.5h	0.082	M9_Rep1	53000000
HM86_M9Glu1-3.5h	0.165	M9_Rep1	100000000
HM86_M9Glu1-4h	0.278	M9_Rep1	170000000
HM86_M9Glu1-5h	0.62	M9_Rep1	320000000
HM86_M9Glu1-6h	1.04	M9_Rep1	830000000
HM86_M9Glu1-7h	1.48	M9_Rep1	1600000000
HM86_M9Glu1-8h	1.245	M9_Rep1	3100000000
HM86_M9Glu1-_O-N	0.027	M9_Rep1	34000000
HM86_TB1-T_O-N	0.139	TB_Rep1	57000000
HM86_TB1-T1a	0.412	TB_Rep1	180000000
HM86_TB1-T1b	0.857	TB_Rep1	185000000
HM86_TB1-T2a	2.61	TB_Rep1	1350000000
HM86_TB1-T2b	4.13	TB_Rep1	6300000000
HM86_TB1-T3a	5.93	TB_Rep1	8400000000
HM86_TB1-T3b	5.82	TB_Rep1	10000000000
HM86_TB1-T4	6.69	TB_Rep1	11300000000
HM86_TB1-T5	8.61	TB_Rep1	12300000000
HM86_TB1-T6	9.41	TB_Rep1	61000000000
HM86_TB2-T_O-N	0.077	TB_Rep2	61000000
HM86_TB2-T1a	0.322	TB_Rep2	150000000
HM86_TB2-T1b	0.711	TB_Rep2	245000000
HM86_TB2-T2a	2.5	TB_Rep2	930000000
HM86_TB2-T2b	4.26	TB_Rep2	3700000000
HM86_TB2-T3a	5.43	TB_Rep2	6200000000
HM86_TB2-T3b	6.01	TB_Rep2	5600000000
HM86_TB2-T4	6.68	TB_Rep2	7350000000
HM86_TB2-T5	8.76	TB_Rep2	10700000000
HM86_TB2-T6	8.98	TB_Rep2	12000000000
HM86_TB3-T_O-N	0.122	TB_Rep3	76500000
HM86_TB3-T1a	0.517	TB_Rep3	225000000
HM86_TB3-T1b	0.999	TB_Rep3	475000000
HM86_TB3-T2a	2.98	TB_Rep3	1100000000
HM86_TB3-T2b	4.24	TB_Rep3	4350000000
HM86_TB3-T3a	5.68	TB_Rep3	5000000000
HM86_TB3-T3b	5.76	TB_Rep3	5200000000
HM86_TB3-T4	5.96	TB_Rep3	6550000000
HM86_TB3-T5	7.21	TB_Rep3	7800000000
HM86_TB3-T6	8.45	TB_Rep3	8950000000
Stab_HM86_TB2h	ND	TB_stability	1400000000
Stab_HM86_TB3h	ND	TB_stability	850000000
Stab_HM86_TB4h	ND	TB_stability	1150000000
Stab_HM86_TB5h	ND	TB_stability	950000000
Stab_HM86_TB6h	ND	TB_stability	1000000000
Stab_HM86_Tb_O-N	ND	TB_stability	64833333.33
Stab_HU-HM86_2h_R1	ND	HU-Stability	255000000
Stab_HU-HM86_2h_R2	ND	HU-Stability	275000000
Stab_HU-HM86_3h_R1	ND	HU-Stability	191500000
Stab_HU-HM86_3h_R2	ND	HU-Stability	355000000
Stab_HU-HM86_4h_R1	ND	HU-Stability	450000000
Stab_HU-HM86_4h_R2	ND	HU-Stability	645000000
Stab_HU-HM86_5h_R1	ND	HU-Stability	315000000
Stab_HU-HM86_5h_R2	ND	HU-Stability	395000000
Stab_HU-HM86_6h_R1	ND	HU-Stability	345000000
Stab_HU-HM86_6h_R2	ND	HU-Stability	280000000
