Sample ID,Sample Name,qPCR_PTR
8399-SP-78,GC_HU-HM86_3h,1.33828823
8399-SP-79,GC_HU-HM86_4h,1.06814375
8399-SP-80,GC_HU-HM86_5h,0.99333104
8399-SP-81,GC_HU-HM86_6h,0.97296624
8399-SP-91,HM68_TB1_T1,2.375922
8399-SP-90,HM68_TB1_T_O-N,1.000079
8399-SP-92,HM68_TB1-T2,2.183189
8399-SP-93,HM68_TB1-T2.5,1.406652
8399-SP-94,HM68_TB1-T3,1.344567
8399-SP-95,HM68_TB1-T4,1.122063
8399-SP-96,HM68_TB1-T5,1.020475
8399-SP-67,HM86_HU_O-N,1.00038262
8399-SP-1,HM86_LB1-T_O-N,1
8399-SP-2,HM86_LB1-T1a,2.411199
8399-SP-3,HM86_LB1-T1b,2.518361
8399-SP-4,HM86_LB1-T2a,2.178435
8399-SP-5,HM86_LB1-T2b,2.09572
8399-SP-6,HM86_LB1-T3a,1.694623
8399-SP-7,HM86_LB1-T3b,1.482684
8399-SP-8,HM86_LB1-T4,1.341635
8399-SP-9,HM86_LB1-T5,1.102067
8399-SP-10,HM86_LB1-T6,1.015877
8399-SP-21,HM86_LB2-T_O-N,1
8399-SP-22,HM86_LB2-T1a,2.726512
8399-SP-23,HM86_LB2-T1b,2.684094
8399-SP-24,HM86_LB2-T2a,2.226697
8399-SP-25,HM86_LB2-T2b,2.01227
8399-SP-26,HM86_LB2-T3a,1.78578
8399-SP-27,HM86_LB2-T3b,1.536281
8399-SP-28,HM86_LB2-T4,1.439564
8399-SP-29,HM86_LB2-T5,1.098932
8399-SP-30,HM86_LB2-T6,1.054696
8399-SP-41,HM86_LB3-T_O-N,1.000096
8399-SP-42,HM86_LB3-T1a,2.107693
8399-SP-43,HM86_LB3-T1b,2.45894
8399-SP-44,HM86_LB3-T2a,1.986995
8399-SP-45,HM86_LB3-T2b,1.786211
8399-SP-46,HM86_LB3-T3a,1.661598
8399-SP-47,HM86_LB3-T3b,1.419815
8399-SP-48,HM86_LB3-T4,1.270381
8399-SP-49,HM86_LB3-T5,1.108836
8399-SP-50,HM86_LB3-T6,1.006101
8399-SP-83,HM86_M9Glu1-2.5h,0.87812753
8399-SP-84,HM86_M9Glu1-3.5h,0.89920173
8399-SP-85,HM86_M9Glu1-4h,0.87443674
8399-SP-86,HM86_M9Glu1-5h,1.11281678
8399-SP-87,HM86_M9Glu1-6h,1.13860244
8399-SP-88,HM86_M9Glu1-7h,0.99287969
8399-SP-89,HM86_M9Glu1-8h,0.9550095
8399-SP-82,HM86_M9Glu1-_O-N,1.00020685
8399-SP-11,HM86_TB1-T_O-N,1
8399-SP-12,HM86_TB1-T1a,2.653156
8399-SP-13,HM86_TB1-T1b,2.813042
8399-SP-14,HM86_TB1-T2a,2.283081
8399-SP-15,HM86_TB1-T2b,1.625358
8399-SP-16,HM86_TB1-T3a,1.463022
8399-SP-17,HM86_TB1-T3b,1.2385
8399-SP-18,HM86_TB1-T4,1.158429
8399-SP-19,HM86_TB1-T5,1.08535
8399-SP-20,HM86_TB1-T6,1.054759
8399-SP-31,HM86_TB2-T_O-N,1
8399-SP-32,HM86_TB2-T1a,2.008477
8399-SP-33,HM86_TB2-T1b,2.371757
8399-SP-34,HM86_TB2-T2a,2.185281
8399-SP-35,HM86_TB2-T2b,1.492383
8399-SP-36,HM86_TB2-T3a,1.372019
8399-SP-37,HM86_TB2-T3b,1.188408
8399-SP-38,HM86_TB2-T4,1.080643
8399-SP-39,HM86_TB2-T5,1.018172
8399-SP-40,HM86_TB2-T6,0.982411
8399-SP-51,HM86_TB3-T_O-N,1.00007
8399-SP-52,HM86_TB3-T1a,2.747804
8399-SP-53,HM86_TB3-T1b,2.866415
8399-SP-54,HM86_TB3-T2a,2.063198
8399-SP-55,HM86_TB3-T2b,1.616882
8399-SP-56,HM86_TB3-T3a,1.390665
8399-SP-57,HM86_TB3-T3b,1.193106
8399-SP-58,HM86_TB3-T4,1.116703
8399-SP-59,HM86_TB3-T5,1.084899
8399-SP-60,HM86_TB3-T6,1.120368
8399-SP-62,Stab_HM86_TB2h,1.87647192
8399-SP-63,Stab_HM86_TB3h,1.91283949
8399-SP-64,Stab_HM86_TB4h,2.01689658
8399-SP-65,Stab_HM86_TB5h,1.69079574
8399-SP-66,Stab_HM86_TB6h,1.93608983
8399-SP-61,Stab_HM86_Tb_O-N,1.00009496
8399-SP-68,Stab_HU-HM86_2h_R1,1.1293413
8399-SP-73,Stab_HU-HM86_2h_R2,1.21928537
8399-SP-69,Stab_HU-HM86_3h_R1,1.32429932
8399-SP-74,Stab_HU-HM86_3h_R2,1.24920969
8399-SP-70,Stab_HU-HM86_4h_R1,1.25411971
8399-SP-75,Stab_HU-HM86_4h_R2,1.26077608
8399-SP-71,Stab_HU-HM86_5h_R1,1.25703399
8399-SP-76,Stab_HU-HM86_5h_R2,1.30192773
8399-SP-72,Stab_HU-HM86_6h_R1,1.26287423
8399-SP-77,Stab_HU-HM86_6h_R2,1.24489131
